year,importer_name,target,value,share
2018-2020,Algeria,Barley,12.2m,14.059999999999999
2018-2020,Benin,Barley,0.0m,88.27
2018-2020,Egypt,Barley,1.4m,94.54
2018-2020,Ethiopia,Barley,0.1m,1.71
2018-2020,Libya,Barley,61.6m,52.84
2018-2020,Morocco,Barley,10.4m,9.0
2018-2020,South Africa,Barley,0.0m,0.44
2018-2020,Tunisia,Barley,46.3m,33.95
