year,importer_name,indicator,Barley,Capital goods,Coal,Consumption goods n.e.s,Food and beverages,Fuels and Lubricants,Gas,Goods not specified,Industrial Supplies,Maize,Petroleum oils,Potash,Steel and Iron,Sunflower oil,Transport equipment,"Weapons, Firearms, Ammunition",Wheat
2018-2020,Nigeria,Share,,0.06,,0.0,0.45999999999999996,0.02,,,0.46,0.39,1.39,24.03,6.49,3.26,0.02,,23.21
2018-2020,Nigeria,USD (million),,4.7864723,,0.15831130000000002,14.209220000000002,0.0035643,,,48.691566300000005,0.098745,102.65502099999999,12.9861477,50.155673300000004,0.041613,0.92148,,263.811684
2018-2020,Rwanda,Share,,0.09,,0.02,0.7200000000000001,,,,0.98,,0.02,23.9,0.34,20.35,0.53,,63.54
2018-2020,Rwanda,USD (million),,0.4333883,,0.052970699999999996,2.389178,,,,6.0257746,,0.0737013,2.001819,0.2491987,1.7618677,0.729847,,16.7705167
2018-2020,Sao Tome and Principe,Share,,,,,0.01,,,,0.04,,,,,,,,
2018-2020,Sao Tome and Principe,USD (million),,,,,0.003709,,,,0.008051,,,,,,,,
2018-2020,Senegal,Share,,0.06999999999999999,26.27,0.03,0.12,0.06,,,1.7999999999999998,,24.99,5.91,22.53,26.92,0.08,,60.44
2018-2020,Senegal,USD (million),,1.1141916,24.65011,0.42623300000000003,2.0990893,0.0018703,,,48.0536326,,459.2681784,1.0571220000000001,73.16928569999999,4.964264,0.808087,,106.38826429999999
2018-2020,Seychelles,Share,,0.12000000000000001,,0.65,0.58,0.03,,,1.56,7.87,0.0,,0.19,5.67,0.18,,
2018-2020,Seychelles,USD (million),,0.2096677,,0.7819967,1.6396330000000001,0.0001293,,,3.7493670000000003,0.12861,0.0045057,,0.0493723,0.28910759999999996,0.8418204,,
2018-2020,Sierra Leone,Share,,0.18000000000000002,,0.01,0.54,0.13,,,0.12,,0.21,9.29,,19.29,0.57,,
2018-2020,Sierra Leone,USD (million),,0.3330553,,0.014350700000000001,1.7353763999999998,0.0002717,,,0.3180973,,0.0370873,0.08482930000000001,,0.0173617,0.5896935999999999,,
2018-2020,Somalia,Share,,0.08,,0.01,0.21000000000000002,0.59,,,0.01,,0.18,,0.0,1.12,0.23,,67.96000000000001
2018-2020,Somalia,USD (million),,0.26781330000000003,,0.0642644,2.5338857,0.0031320000000000002,,,0.037018,,0.0671294,,1.43e-05,0.2249997,0.507477,,6.8509134
2018-2020,South Africa,Share,0.44,0.1,2.29,0.05,0.33999999999999997,1.65,,0.02,1.1300000000000001,0.09000000000000001,0.18,4.31,1.83,3.86,0.05,0.8,30.94
2018-2020,South Africa,USD (million),0.019525300000000002,18.3273796,8.472168700000001,4.3543354,17.748408000000005,8.3602074,,0.021182700000000002,256.0889283,0.0537533,22.5919804,7.6513703,22.8591304,5.9336212999999995,5.244854699999999,0.44870000000000004,132.717908
2018-2020,South Sudan,Share,,1.26,,0.0,0.15,5.4,,,0.08,,0.11,,0.0,4.08,0.38,,
2018-2020,South Sudan,USD (million),,1.4082547,,0.0012284000000000002,0.4607973,0.021359000000000003,,,0.1412044,,0.0044340000000000004,,5.5e-05,0.0253603,0.7228217,,
2018-2020,Sudan,Share,,0.44999999999999996,,0.01,0.5,2.35,0.0,80.91,0.5800000000000001,0.01,1.1,0.02,1.86,95.72,0.8400000000000001,6.039999999999999,79.1
2018-2020,Sudan,USD (million),,6.594672399999999,,0.192416,5.9907596,0.0455947,3.53e-05,0.1052013,10.8960473,0.0002503,4.4753289999999994,0.00061,3.6800100000000002,68.34566869999999,7.012324699999999,0.5965553,828.3744350000001
2018-2020,Tanzania,Share,,0.04,,0.01,0.36,0.0,0.09,,0.8999999999999999,,0.21,2.65,0.41000000000000003,43.2,0.01,0.28,72.85000000000001
2018-2020,Tanzania,USD (million),,0.8150046999999999,,0.1103017,2.9225324,3e-07,0.0587177,,25.9960974,,2.9199967,0.5972116999999999,2.0260783,3.597969,0.1270186,0.0018157000000000002,139.7832503
2018-2020,Togo,Share,,0.0,16.53,0.0,0.37,0.0,,,0.25,,6.64,14.55,10.19,43.230000000000004,0.01,0.15,49.98
2018-2020,Togo,USD (million),,0.0487543,6.980939,0.0016696999999999999,3.8020624,0.006155399999999999,,,3.323056,,273.785187,2.4092363,13.390958000000001,1.3516759999999999,0.053403,0.0099843,11.7130247
2018-2020,Tunisia,Share,33.95,0.06,9.35,0.03,1.33,0.0,0.79,,1.28,51.78,13.56,1.91,27.99,95.89,0.08,0.03,53.550000000000004
2018-2020,Tunisia,USD (million),46.3487304,2.7112043,0.053473999999999994,0.5461929999999999,15.2192366,0.00025729999999999997,7.0851393,,90.8558653,88.3994467,285.142804,0.2584047,221.6959693,12.850914300000001,1.494891,0.0086537,234.63852000000003
2018-2020,Uganda,Share,,0.38,0.0,0.09000000000000001,0.09,0.08,0.0,,0.39,,0.01,16.03,2.8899999999999997,34.18,1.6199999999999999,,51.08
2018-2020,Uganda,USD (million),,3.952083,2.4299999999999998e-05,0.6908393,0.6554466999999999,0.005607,1.67e-05,,11.155187,,0.12475960000000001,1.8562059999999998,8.769179,0.331031,11.232181700000002,,58.97529
2018-2020,Zambia,Share,,0.05,,0.02,0.26,,,18.77,0.57,,0.0,0.33,0.0,,2.38,0.04,5.34
2018-2020,Zambia,USD (million),,0.8461017000000001,,0.1131834,1.2947467,,,0.674,15.0875706,,0.0013973,0.3265713,0.0006676999999999999,,19.357018399999998,0.015694,0.6121943
2018-2020,Zimbabwe,Share,,0.04,,0.08,0.11,,,,0.26,,,0.47,,1.08,0.0,1.18,15.469999999999999
2018-2020,Zimbabwe,USD (million),,0.449457,,0.367593,0.44761330000000005,,,,3.619324,,,0.21826230000000002,,0.0494443,0.0344347,0.0175753,14.039612000000002
