period,Energy,Non-energy,Agriculture,Beverages,Food,Oils & Meals,Grains,Other Food,Raw Materials,Timber,Other Raw Mat.,Fertilizers,Metals & Minerals,Base Metals (ex. iron ore),Precious Metals
2000-01-01,33.3230398722572,46.4173365622541,50.2752439683066,48.9920580585268,47.4443043194912,43.5395927797459,49.0688930908383,51.110833485751,57.8056716624464,74.4240393159147,39.6321428752008,32.767777394545,40.0548313473213,44.777745555996,23.8317979137293
2000-02-01,36.148352681048,46.5298575109206,50.372513611661,46.0655903509195,47.9102554727373,43.5912652550119,49.6954203839961,51.9764627575719,58.5447213498708,73.7126540278187,41.9573604902645,34.5888729378382,40.0046829470803,44.7159396887291,25.0341823405736
2000-03-01,36.1259779497123,45.9010003602446,50.0049687020572,45.687481637974,47.3284922059379,44.6771092433467,48.504438863328,49.7522351760583,58.7030052930594,73.6062551343265,42.4050965175694,34.3920944410187,38.7908711575038,43.2199659389557,23.925541272792
2000-04-01,31.304578336561,45.475100584061,50.3612660784305,44.404913662083,47.9751119120828,45.6043218166993,47.8514725865187,51.2060222459128,59.187279109801,73.8695549288058,43.1310232955739,33.6049804537407,36.8018189142729,40.7685398048932,23.536708867301
2000-05-01,37.070406479502,45.5812659851269,50.0409215732164,45.5502057333688,47.472005602738,43.7314666406962,47.9319225146537,51.9767471912206,58.5657166034256,72.8550889730282,42.9391324812212,34.7140956176324,37.668835810473,41.8371029284874,23.2288555113227
2000-06-01,40.509121698252,44.9504511015945,49.1422592461517,43.5672774151017,46.4631593793022,41.9654685580244,45.2908366928241,53.4414195397191,58.4860827720272,73.2262465146436,42.366521832524,36.7355474485963,37.2862616375465,41.3655957929051,23.9841908944285
2000-07-01,39.0652520076005,44.5495507947682,47.9481499682637,44.8350003452003,44.9491756387986,40.5315423774894,42.361370968003,53.1033290379391,56.8173321486269,70.7307975265146,41.6018327176335,39.2352996401464,38.1828352688052,42.4705863924525,23.6956857825509
2000-08-01,40.6337960711004,44.4176677831598,47.7102743653071,41.0715722283997,45.1566183886902,40.1606245564548,42.1217568787941,54.4763111642976,57.290206334966,70.7315905981847,42.5909657752559,41.0338048248487,38.0491991280633,42.3058852746287,23.2009360526088
2000-09-01,44.960349229727,44.7506503840654,47.4998382953817,40.9504128216912,46.0563527775419,40.9475827793431,43.7104534452291,54.900802558286,54.3371437865101,65.1464273616154,42.5163181604336,38.2431279608631,39.851221645673,44.5268048652887,23.1836258734318
2000-10-01,43.2682755407166,44.0871668029727,47.5613996606308,40.2969150126976,46.4101612929504,39.499504527931,46.5223511991816,55.4002363438031,54.052266426972,64.4976310906105,42.6294155570014,37.7750615890605,37.6786097136262,41.8491488673023,22.8685123627234
2000-11-01,45.6995168368201,43.5446735282313,47.3738996260867,38.5242667196719,46.8729981482476,40.4835357684369,47.3747378137612,54.8247936014478,53.0907500121463,62.4646065310086,42.8396799404417,35.4019481241568,36.6158858702239,40.5393848770029,22.5030383127349
2000-12-01,42.478986876281,44.4230005127958,48.0778871245055,37.2538542392063,48.5763087436532,42.7201544153878,49.3093519233038,55.6171237327717,52.3707640155468,61.1915992107725,42.7244674784422,34.9189463592362,38.006283881519,42.2529939756262,22.8424225924382
2001-01-01,42.1598916609373,44.59480300008,48.0016788918661,38.9852218907565,48.5893383636485,40.9858198800367,49.3058324386461,57.9439556587528,51.1586270905398,59.2491121112603,42.3110275252386,38.4967372104998,38.300087284687,42.4174782867972,22.5024513440023
2001-02-01,40.6801759079064,44.0124474757836,47.4386547033131,37.0379983304464,48.0957273441214,38.4721574788686,47.998364651631,60.844571905247,51.1307993994976,59.6940889630447,41.7661498357264,36.2427289742037,37.8678424977939,41.8847541361329,22.1390285603419
2001-03-01,36.8866719096929,43.355847805011,47.2032152996501,38.7427079562704,47.7515503894353,39.1130116485762,47.287946397612,59.5359947616614,50.1730143075664,59.1167327871986,40.3923349626431,35.3303923071315,36.3765433985975,40.0467885432655,22.034605969532
2001-04-01,38.2085372009109,42.7868385704174,46.6229619779729,38.0692191291543,47.1638004713112,37.9716943058724,46.075781299833,60.2417015161924,49.6583830155106,58.8288477709457,39.6297382833345,34.8187682154008,35.8240798834472,39.3658996909167,21.8576528187501
2001-05-01,39.8839506121389,43.1944838178644,46.9507461983371,38.6626948962507,47.8174753223654,36.7991943318573,45.9587490001285,63.9954840064332,49.0592955426788,57.4232065472555,39.9126825548556,33.1461099402056,36.6316503999058,40.3611975650084,22.7086845662578
2001-06-01,38.4502623221006,42.6374435237531,46.8294916099766,36.50729174155,48.3150294497006,38.3053410130792,45.2771622601968,64.2334326890096,48.4689328263026,56.7568990546598,39.4053715921562,33.3336532157824,35.0963659136048,38.4690217683457,22.4543826579261
