period,fertilizer,price
2017-01-01,Potassium chloride,206.5
2017-02-01,Potassium chloride,301.5
2017-03-01,Potassium chloride,206.5
2017-04-01,Potassium chloride,206.5
2017-05-01,Potassium chloride,206.5
2017-06-01,Potassium chloride,206.5
2017-07-01,Potassium chloride,207.25
2017-08-01,Potassium chloride,215.5
2017-09-01,Potassium chloride,215.5
2017-10-01,Potassium chloride,215.5
2017-11-01,Potassium chloride,215.5
2017-12-01,Potassium chloride,215.5
2018-01-01,Potassium chloride,215.5
2018-02-01,Potassium chloride,215.5
2018-03-01,Potassium chloride,215.5
2018-04-01,Potassium chloride,215.5
2018-05-01,Potassium chloride,215.5
2018-06-01,Potassium chloride,215.5
2018-07-01,Potassium chloride,215.5
2018-08-01,Potassium chloride,215.5
2018-09-01,Potassium chloride,215.5
2018-10-01,Potassium chloride,215.5
2018-11-01,Potassium chloride,215.5
2018-12-01,Potassium chloride,215.5
2019-01-01,Potassium chloride,215.5
2019-02-01,Potassium chloride,215.5
2019-03-01,Potassium chloride,245.5
2019-04-01,Potassium chloride,265.5
2019-05-01,Potassium chloride,265.5
2019-06-01,Potassium chloride,265.5
2019-07-01,Potassium chloride,265.5
2019-08-01,Potassium chloride,265.5
2019-09-01,Potassium chloride,265.5
2019-10-01,Potassium chloride,265.5
2019-11-01,Potassium chloride,265.5
2019-12-01,Potassium chloride,265.5
2020-01-01,Potassium chloride,245.0
2020-02-01,Potassium chloride,245.0
2020-03-01,Potassium chloride,245.0
2020-04-01,Potassium chloride,245.0
2020-05-01,Potassium chloride,216.0
2020-06-01,Potassium chloride,202.5
2020-07-01,Potassium chloride,202.5
2020-08-01,Potassium chloride,202.5
2020-09-01,Potassium chloride,202.5
2020-10-01,Potassium chloride,202.5
2020-11-01,Potassium chloride,202.5
2020-12-01,Potassium chloride,202.5
2021-01-01,Potassium chloride,202.5
2021-02-01,Potassium chloride,202.5
2021-03-01,Potassium chloride,202.5
2021-04-01,Potassium chloride,202.5
2021-05-01,Potassium chloride,202.5
2021-06-01,Potassium chloride,202.5
2021-07-01,Potassium chloride,202.5
2021-08-01,Potassium chloride,221.0
2021-09-01,Potassium chloride,221.0
2021-10-01,Potassium chloride,221.0
2021-11-01,Potassium chloride,221.0
2021-12-01,Potassium chloride,221.0
2022-01-01,Potassium chloride,221.0
2022-02-01,Potassium chloride,391.75
2022-03-01,Potassium chloride,562.5
2022-04-01,Potassium chloride,562.5
