variable,Nutrient nitrogen N (total),Nutrient phosphate P2O5 (total),Nutrient potash K2O (total)
total import,44922311.56333333,21091516.133333333,43401962.31
total export,51117566.46,26678133.869999997,38275998.056666665
exports from russia and Belarus,7389873.943333333,3092269.1133333337,15136236.986666668
imports from g20,26040357.45666667,13167260.846666668,32370433.203333333
exports available w/out russia/belarus and after g20 demand is met,17687335.059999995,10418603.909999996,-9230672.133333337
import demand by rest of world excluding g20,18881954.10666666,7924255.286666665,11031529.10666667
imports by g20 as % of total,57.96753673273001,62.42918130412133,74.5828793917805
shortage,1194619.0466666669,-2494348.623333331,20262201.240000006
import demand gap (%),93.67322343906724,131.47738851284004,-83.67536398698324
g20 imports used in agriculture (%),24.066789457480933,29.351620724887763,80.20372840250558
g20 production as percent of total,71.08103922208888,76.23542000962405,56.23622620028753
