year,importer_name,target,value,share
2018-2020,Algeria,Barley,12222.0597,14.059999999999999
2018-2020,Algeria,Capital goods,304536.1003,3.81
2018-2020,Algeria,Coal,526.9153,18.44
2018-2020,Algeria,Consumption goods n.e.s,11119.8566,0.27
2018-2020,Algeria,Food and beverages,121389.3547,2.7199999999999998
2018-2020,Algeria,Fuels and Lubricants,2298.0957,1.49
2018-2020,Algeria,Gas,9382.8297,8.68
2018-2020,Algeria,Industrial Supplies,74679.5347,0.78
2018-2020,Algeria,Maize,43522.7877,5.78
2018-2020,Algeria,Petroleum oils,286949.384,20.53
2018-2020,Algeria,Potash,21.9343,0.04
2018-2020,Algeria,Steel and Iron,234925.1973,19.22
2018-2020,Algeria,Sunflower oil,27931.059999999998,95.58
2018-2020,Algeria,Transport equipment,306198.73030000005,6.38
2018-2020,Algeria,"Weapons, Firearms, Ammunition",42758.733,52.92
2018-2020,Algeria,Wheat,2148.988,0.14
2018-2020,Angola,Capital goods,8693.6866,0.26
2018-2020,Angola,Consumption goods n.e.s,179.899,0.02
2018-2020,Angola,Food and beverages,23418.374300000003,1.0899999999999999
2018-2020,Angola,Fuels and Lubricants,4.708,0.06
2018-2020,Angola,Goods not specified,1780.3667,4.4
2018-2020,Angola,Industrial Supplies,15468.6283,0.68
2018-2020,Angola,Petroleum oils,2904.5817,0.25
2018-2020,Angola,Potash,538.6127,2.88
2018-2020,Angola,Steel and Iron,3222.9873,1.62
2018-2020,Angola,Sunflower oil,1867.861,22.92
2018-2020,Angola,Transport equipment,7246.612,0.65
2018-2020,Angola,"Weapons, Firearms, Ammunition",16120.6243,49.61
2018-2020,Angola,Wheat,25098.2783,16.029999999999998
2018-2020,Benin,Barley,0.5793,88.27
2018-2020,Benin,Capital goods,18.7923,0.01
2018-2020,Benin,Coal,5243.134,66.53
2018-2020,Benin,Consumption goods n.e.s,0.5720000000000001,0.0
2018-2020,Benin,Food and beverages,4774.343699999999,0.28
2018-2020,Benin,Fuels and Lubricants,0.3447,0.02
2018-2020,Benin,Industrial Supplies,6081.5883,0.5900000000000001
2018-2020,Benin,Maize,5.4753,0.58
