economy,PA.NUS.FCRF,PA.NUS.FCRF:T
ABW,1.79,2020
AFG,76.8135364354897,2020
AGO,578.258780280111,2020
ALB,108.65,2020
ARE,3.6725,2020
ARG,70.5391666666667,2020
ARM,489.008858590915,2020
ATG,2.7,2020
AUS,1.45308511847016,2020
AUT,12.379065,1998
AZE,1.7,2020
BDI,1915.04617583333,2020
BEL,36.2986408333333,1998
BEN,574.294549649046,2020
BFA,575.586004510945,2020
BGD,84.8713916666667,2020
BGR,1.71633333333333,2020
BHR,0.376,2020
BHS,1.0,2020
BIH,1.71697049519219,2020
BLR,2.439575,2020
BLZ,2.0,2020
BMU,1.0,2020
BOL,6.91,2020
BRA,5.15517878751281,2020
BRB,2.0,2020
BRN,1.37970342971399,2020
BTN,74.0995668836052,2020
BWA,11.4562416666667,2020
CAF,575.586004510945,2020
CAN,1.34115267222386,2020
CHE,0.938965,2020
CHL,792.727206103168,2020
CHN,6.90076726944925,2020
CIV,575.586004510945,2020
CMR,575.586004510945,2020
COD,1851.12216183261,2020
COG,575.586004510945,2020
COL,3694.85407196453,2020
COM,430.720912236785,2020
CPV,96.7957427869885,2020
CRI,584.900854962304,2020
CUB,0.821999999,1974
CUW,1.79,2020
CYM,0.83333,2020
CYP,0.426125,2007
CZE,23.21025,2020
DEU,1.7596676,1998
DJI,177.721,2020
DMA,2.7,2020
DNK,6.54215220416667,2020
DOM,56.5245333333333,2020
DZA,126.7768,2020
ECU,1.0,2020
EGY,15.7591729166667,2020
EMU,0.875506396987983,2020
ERI,15.075,2020
ESP,149.395331666667,1998
EST,11.8068482348947,2010
ETH,34.9271654040404,2020
FIN,5.34406583333333,1998
FJI,2.16880492424242,2020
FRA,5.89951566666667,1998
FRO,6.73171825724638,2016
FSM,1.0,2020
GAB,575.586004510945,2020
GBR,0.779999576697153,2020
GEO,3.10901666666667,2020
GHA,5.59570833333333,2020
GIB,0.779999576697153,2020
GIN,9565.08218343833,2020
GMB,51.5016603661723,2020
