code,description,bec
010121,"Horses: live, pure-bred breeding animals",41
010129,"Horses: live, other than pure-bred breeding animals",111
010130,Asses: live,111
010190,Mules and hinnies: live,111
010221,"Cattle: live, pure-bred breeding animals",41
010229,"Cattle: live, other than pure-bred breeding animals",111
010231,"Buffalo: live, pure-bred breeding animals",41
010239,"Buffalo: live, other than pure-bred breeding animals",111
010290,"Bovine animals: live, other than cattle and buffalo",111
010310,"Swine: live, pure-bred breeding animals",41
010391,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg",111
010392,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more",111
010410,Sheep: live,111
010420,Goats: live,111
010511,"Poultry: live, fowls of the species Gallus domesticus, weighing not more than 185g",111
010512,"Poultry: live, turkeys, weighing not more than 185g",111
010513,"Poultry: live, ducks, weighing not more than 185g",111
010514,"Poultry: live, geese, weighing not more than 185g",111
010515,"Poultry: live, guinea fowls, weighing not more than 185g",111
010594,"Poultry: live, fowls of the species Gallus domesticus, weighing more than 185g",111
010599,"Poultry: live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",111
010611,"Mammals: live, primates",111
010612,"Mammals: live, whales, dolphins and porpoises (mammals of the order Cetacea): manatees and dugongs (mammals of the order Sirenia): seals, sea lions and walruses (mammals of the suborder Pinnipedia)",111
010613,"Mammals: live, camels and other camelids (Camelidae)",111
010614,"Mammals: live, rabbits and hares",111
010619,"Mammals: live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea): manatees, dugongs (mammals of the order Sirenia): seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",111
010620,Reptiles: live (including snakes and turtles),111
010631,"Birds: live, birds of prey",111
010632,"Birds: live, Psittaciformes",111
010633,"Birds: live, ostriches: emus (Dromaius novaehollandiae)",111
010639,"Birds: live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",111
010641,"Insects: live, bees",111
010649,"Insects: live, other than bees",111
010690,"Animals: live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",111
020110,"Meat: of bovine animals, carcasses and half-carcasses, fresh or chilled",121
