code,description,bec
020120,"Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",122
020130,"Meat: of bovine animals, boneless cuts, fresh or chilled",122
020210,"Meat: of bovine animals, carcasses and half-carcasses, frozen",121
020220,"Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",122
020230,"Meat: of bovine animals, boneless cuts, frozen",122
020311,"Meat: of swine, carcasses and half-carcasses, fresh or chilled",121
020312,"Meat: of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",122
020319,"Meat: of swine, n.e.c. in item no. 0203.1, fresh or chilled",122
020321,"Meat: of swine, carcasses and half-carcasses, frozen",121
020322,"Meat: of swine, hams, shoulders and cuts thereof, with bone in, frozen",122
020329,"Meat: of swine, n.e.c. in item no. 0203.2, frozen",122
020410,"Meat: of sheep, lamb carcasses and half-carcasses, fresh or chilled",121
020421,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",121
020422,"Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",122
020423,"Meat: of sheep (including lamb), boneless cuts, fresh or chilled",122
020430,"Meat: of sheep, lamb carcasses and half-carcasses, frozen",121
020441,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",121
020442,"Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",122
020443,"Meat: of sheep (including lamb), boneless cuts, frozen",122
020450,"Meat: of goats, fresh, chilled or frozen",122
020500,"Meat: of horses, asses, mules or hinnies, fresh, chilled or frozen",121
020610,"Offal, edible: of bovine animals, fresh or chilled",122
020621,"Offal, edible: of bovine animals, tongues, frozen",122
020622,"Offal, edible: of bovine animals, livers, frozen",122
020629,"Offal, edible: of bovine animals, (other than tongues and livers), frozen",122
020630,"Offal, edible: of swine, fresh or chilled",122
020641,"Offal, edible: of swine, livers, frozen",122
020649,"Offal, edible: of swine, (other than livers), frozen",122
020680,"Offal, edible: of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",122
020690,"Offal, edible: of sheep, goats, horses, asses, mules or hinnies, frozen",122
020711,"Meat and edible offal: of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",122
020712,"Meat and edible offal: of fowls of the species Gallus domesticus, not cut in pieces, frozen",122
020713,"Meat and edible offal: of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",122
020714,"Meat and edible offal: of fowls of the species Gallus domesticus, cuts and offal, frozen",122
020724,"Meat and edible offal: of turkeys, not cut in pieces, fresh or chilled",122
020725,"Meat and edible offal: of turkeys, not cut in pieces, frozen",122
020726,"Meat and edible offal: of turkeys, cuts and offal, fresh or chilled",122
020727,"Meat and edible offal: of turkeys, cuts and offal, frozen",122
020741,"Meat and edible offal: of ducks, not cut in pieces, fresh or chilled",122
020742,"Meat and edible offal: of ducks, not cut in pieces, frozen",122
020743,"Meat and edible offal: of ducks, fatty livers (foie gras), fresh or chilled",122
020744,"Meat and edible offal: of ducks, cuts and offal, excluding fatty livers, fresh or chilled",122
020745,"Meat and edible offal: of ducks, cuts and offal, excluding fatty livers, frozen",122
020751,"Meat and edible offal: of geese, not cut in pieces, fresh or chilled",122
020752,"Meat and edible offal: of geese, not cut in pieces, frozen",122
020753,"Meat and edible offal: of geese, fatty livers (foie gras), fresh or chilled",122
020754,"Meat and edible offal: of geese, cuts and offal, excluding fatty livers, fresh or chilled",122
020755,"Meat and edible offal: of geese, cuts and offal, excluding fatty livers, frozen",122
020760,"Meat and edible offal: of guinea fowls, fresh, chilled or frozen",122
020810,"Meat and edible meat offal: of rabbits or hares, fresh, chilled or frozen",122
020830,"Meat and edible meat offal: of primates, fresh, chilled or frozen",122
020840,"Meat and edible meat offal: of whales, dolphins and porpoises (mammals of the order Cetacea): of manatees and dugongs (mammals of the order Sirenia): of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen",122
020850,"Meat and edible meat offal: of reptiles (including snakes and turtles), fresh, chilled or frozen",122
020860,"Meat and edible meat offal: of camels and other camelids (Camelidae), fresh, chilled or frozen",122
020890,"Meat and edible meat offal: n.e.c. in chapter 2, fresh, chilled or frozen",122
020910,"Fat: pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",121
020990,"Fat: poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",121
021011,"Meat: salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in",122
021012,"Meat: salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof",122
021019,"Meat: salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1",122
021020,"Meat: salted, in brine, dried or smoked, of bovine animals",122
021091,"Meat and edible meat offal: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of primates",122
021092,"Meat and edible meat offal: salted, in brine, dried or smoked: edible flours, meals of meat or meat offal, of whales, dolphins, porpoises (of order Cetacea): manatees, dugongs (of order Sirenia): seals, sea lions, and walruses (of suborder Pinnipedia)",122
021093,"Meat and edible meat offal: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles (including snakes and turtles)",122
021099,"Meat and edible meat offal: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)",122
030111,"Fish: live, ornamental, freshwater",63
030119,"Fish: live, ornamental, other than freshwater",63
030191,"Fish: live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",112
030192,"Fish: live, eels (Anguilla spp.)",112
030193,"Fish: live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",112
030194,"Fish: live, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",112
030195,"Fish: live, southern bluefin tunas (Thunnus maccoyii)",112
030199,"Fish: live, n.e.c. in heading 0301",112
030211,"Fish: fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9",112
030213,"Fish: fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9",112
030214,"Fish: fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030219,"Fish: fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030221,"Fish: fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030222,"Fish: fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030223,"Fish: fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030224,"Fish: fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030229,"Fish: fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030231,"Fish: fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030232,"Fish: fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030233,"Fish: fresh or chilled, skipjack or stripe-bellied bonito, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030234,"Fish: fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030235,"Fish: fresh or chilled, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030236,"Fish: fresh or chilled, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030239,"Fish: fresh or chilled, tuna, n.e.c. in item no. 0302.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030241,"Fish: fresh or chilled, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030242,"Fish: fresh or chilled, anchovies (Engraulis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030243,"Fish: fresh or chilled, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030244,"Fish: fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030245,"Fish: fresh or chilled, jack and horse mackerel (Trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030246,"Fish: fresh or chilled, cobia (Rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030247,"Fish: fresh or chilled, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030249,"Fish: fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030251,"Fish: fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030252,"Fish: fresh or chilled, haddock (Melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030253,"Fish: fresh or chilled, coalfish (Pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030254,"Fish: fresh or chilled, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030255,"Fish: fresh or chilled, Alaska pollack (Theragra chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030256,"Fish: fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis),excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030259,"Fish: fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030271,"Fish: fresh or chilled, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030272,"Fish: fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030273,"Fish: fresh or chilled, Carp (as specified by the WCO.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030274,"Fish: fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030279,"Fish: fresh or chilled, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030281,"Fish: fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030282,"Fish: fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030283,"Fish: fresh or chilled, toothfish (Dissostichus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030284,"Fish: fresh or chilled, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030285,"Fish: fresh or chilled, seabream (Sparidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030289,"Fish: fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",112
030291,"Fish: fresh or chilled, livers, roes and milt",122
030292,"Fish: fresh or chilled, shark fins",112
030299,"Fish: fresh or chilled, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",112
030311,"Fish: frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030312,"Fish: frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030313,"Fish: frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030314,"Fish: frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, meat of 0304, and edible fish offal of 0303.91 to 0303.99",122
030319,"Fish: frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030323,"Fish: frozen, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030324,"Fish: frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030325,"Fish: frozen, carp  (as specified by the WCO), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030326,"Fish: frozen, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030329,"Fish: frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030331,"Fish: frozen, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030332,"Fish: frozen, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030333,"Fish: frozen, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030334,"Fish: frozen, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030339,"Fish: frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030341,"Fish: frozen, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030342,"Fish: frozen, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030343,"Fish: frozen, skipjack or stripe-bellied bonito, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030344,"Fish: frozen, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030345,"Fish: frozen, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030346,"Fish: frozen, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030349,"Fish: frozen, tuna, n.e.c. in item no. 0303.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030351,"Fish: frozen, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030353,"Fish: frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030354,"Fish: frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030355,"Fish: frozen, jack and horse mackerel (Trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030356,"Fish: frozen, cobia (Rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030357,"Fish: frozen, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030359,"Fish: frozen, n.e.c. in item no. 0303.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030363,"Fish: frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030364,"Fish: frozen, haddock (Melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030365,"Fish: frozen, coalfish (Pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030366,"Fish: frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030367,"Fish: frozen, Alaska pollack (Theraga chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030368,"Fish: frozen, blue whitings (Micromesistius poutassou, Micromesistius australis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030369,"Fish: frozen, of Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, Muraenolepididae, other than cod, haddock, coalfish, hake, Alaska pollack, blue whitings, not fillets, meat of 0304, and edible offal of 0303.9",122
030381,"Fish: frozen, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030382,"Fish: frozen, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030383,"Fish: frozen, toothfish (Dissostichus spp.), excluding fillets, livers, roes, and edible fish offal of subheadings 0303.91 to 0303.99",122
030384,"Fish: frozen, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030389,"Fish: frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",122
030391,"Fish: frozen, livers, roes and milt",122
030392,"Fish: frozen, shark fins",122
030399,"Fish: frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",122
030431,"Fish fillets: fresh or chilled, tilapias (Oreochromis spp.)",122
030432,"Fish fillets: fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",122
030433,"Fish fillets: fresh or chilled, Nile perch (Lates niloticus)",122
030439,"Fish fillets: fresh or chilled, carp (as specified by the WCO), eels (Anguilla spp.), and snakeheads (Channa spp.)",122
030441,"Fish fillets: fresh or chilled, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic (Salmo salar), Danube (Hucho hucho)",122
030442,"Fish fillets: fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",122
030443,"Fish fillets: fresh or chilled, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",122
030444,"Fish fillets: fresh or chilled, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, and Muraenolepididae",122
030445,"Fish fillets: fresh or chilled, swordfish (Xiphias gladius)",122
030446,"Fish fillets: fresh or chilled, toothfish (Dissostichus spp.)",122
030447,"Fish fillets: fresh or chilled, dogfish and other sharks",122
030448,"Fish fillets: fresh or chilled, rays and skates (Rajidae)",122
030449,"Fish fillets: fresh or chilled, other than fish of heading 0304.4",122
030451,"Fish meat, excluding fillets, whether or not minced: fresh or chilled, tilapias, catfish, carp, eels, Nile perch, and snakeheads",122
030452,"Fish meat, excluding fillets, whether or not minced: fresh or chilled, salmonidae",122
030453,"Fish meat, excluding fillets, whether or not minced: fresh or chilled, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, and Muraenolepididae",122
030454,"Fish meat, excluding fillets, whether or not minced: fresh or chilled, swordfish (Xiphias gladius)",122
030455,"Fish meat, excluding fillets, whether or not minced: fresh or chilled, toothfish (Dissostichus spp.)",122
030456,"Fish meat: excluding fillets, whether or not minced: fresh or chilled, dogfish and other sharks",122
030457,"Fish meat: excluding fillets, whether or not minced: fresh or chilled, rays and skates (Rajidae)",122
030459,"Fish meat: excluding fillets, whether or not minced: fresh or chilled, of fish n.e.c. in item no. 0304.5",122
030461,"Fish fillets: frozen, tilapias (Oreochromis spp.)",122
030462,"Fish fillets: frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",122
030463,"Fish fillets: frozen, Nile Perch (Lates niloticus)",122
030469,"Fish fillets: frozen, carp (Cyprinus/Carassius/Ctenopharyngodon idellus/Hypophthalmichthys/Cirrhinus/Mylopharyngodon piceus/Catla catla/Labeo/Osteochilus hasselti/Leptobarbus hoeveni/Megalobrama), eels (Anguilla) and snakeheads (Channa)",122
030471,"Fish fillets: frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",122
030472,"Fish fillets: frozen, haddock (Melanogrammus aeglefinus)",122
030473,"Fish fillets: frozen, coalfish (Pollachius virens)",122
030474,"Fish fillets: frozen, hake (Merluccius spp., Urophycis spp.)",122
030475,"Fish fillets: frozen, Alaska pollack (Theragra chalcogramma)",122
030479,"Fish fillets: frozen, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae other than cod, haddock, coalfish, hake, and Alaska pollack",122
030481,"Fish fillets: frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",122
030482,"Fish fillets: frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",122
030483,"Fish fillets: frozen, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",122
030484,"Fish fillets: frozen, swordfish (Xiphias gladius)",122
030485,"Fish fillets: frozen, toothfish (Dissostichus spp.)",122
030486,"Fish fillets: frozen, herrings (Clupea harengus, Clupea pallasii)",122
030487,"Fish fillets: frozen, tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis)",122
030488,"Fish fillets: frozen, dogfish, other sharks, rays and skates (Rajidae)",122
030489,"Fish fillets: frozen, of fish n.e.c. in heading 0304.8",122
030491,"Fish meat, excluding fillets, whether or not minced: frozen, swordfish (Xiphias gladius)",122
030492,"Fish meat, excluding fillets, whether or not minced: frozen, toothfish (Dissostichus spp.)",122
030493,"Fish meat, excluding fillets, whether or not minced: frozen, tilapias, catfish, carp, eels, Nile perch, and snakeheads",122
030494,"Fish meat, excluding fillets, whether or not minced: frozen, Alaska Pollack (Theragra chalcogramma)",122
030495,"Fish meat, excluding fillets, whether or not minced: frozen, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",122
030496,"Fish meat, excluding fillets, whether or not minced: frozen, dogfish and other sharks",122
030497,"Fish meat, excluding fillets, whether or not minced: frozen, rays and skates (Rajidae)",122
030499,"Fish meat, excluding fillets, whether or not minced: frozen, n.e.c. in item no. 0304.9",122
030510,"Fish: flours, meals and pellets, fit for human consumption",121
