Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","3","Albania","5910","Export Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","27.85","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5922","Export Value","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","1000 US$","38.24","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","381.31","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","3","Albania","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","543.98","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","3","Albania","5610","Import Quantity","4012","Superphosphates above 35%","2018","2018","tonnes","10100","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5610","Import Quantity","4012","Superphosphates above 35%","2019","2019","tonnes","53.2","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5622","Import Value","4012","Superphosphates above 35%","2018","2018","1000 US$","725.14","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5622","Import Value","4012","Superphosphates above 35%","2019","2019","1000 US$","26.72","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5157","Agricultural Use","4012","Superphosphates above 35%","2018","2018","tonnes","16196.67","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","3","Albania","5157","Agricultural Use","4012","Superphosphates above 35%","2019","2019","tonnes","8631","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","3","Albania","5610","Import Quantity","4001","Urea","2018","2018","tonnes","35329.45","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5610","Import Quantity","4001","Urea","2019","2019","tonnes","49753.36","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5622","Import Value","4001","Urea","2018","2018","1000 US$","8356.75","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5622","Import Value","4001","Urea","2019","2019","1000 US$","11667.96","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5910","Export Quantity","4001","Urea","2018","2018","tonnes","23458.76","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5910","Export Quantity","4001","Urea","2019","2019","tonnes","10386","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5922","Export Value","4001","Urea","2018","2018","1000 US$","8017.9","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5922","Export Value","4001","Urea","2019","2019","1000 US$","3215.26","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5157","Agricultural Use","4001","Urea","2018","2018","tonnes","35435.04","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","3","Albania","5157","Agricultural Use","4001","Urea","2019","2019","tonnes","46520","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","4","Algeria","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","5814.69","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","3190.96","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5622","Import Value","4022","Diammonium phosphate (DAP)","2018","2018","1000 US$","2520.51","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5622","Import Value","4022","Diammonium phosphate (DAP)","2019","2019","1000 US$","1236.5","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5610","Import Quantity","4011","Phosphate rock","2018","2018","tonnes","558","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5610","Import Quantity","4011","Phosphate rock","2019","2019","tonnes","0.48","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5622","Import Value","4011","Phosphate rock","2018","2018","1000 US$","22.76","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5622","Import Value","4011","Phosphate rock","2019","2019","1000 US$","3.06","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5910","Export Quantity","4011","Phosphate rock","2018","2018","tonnes","1280777.34","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5910","Export Quantity","4011","Phosphate rock","2019","2019","tonnes","1119457.5","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5922","Export Value","4011","Phosphate rock","2018","2018","1000 US$","97371.92","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5922","Export Value","4011","Phosphate rock","2019","2019","1000 US$","82934.9","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5610","Import Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","5062.99","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5610","Import Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","4526.19","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5622","Import Value","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","1000 US$","1884.17","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5622","Import Value","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","1000 US$","1747.4","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5910","Export Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","12","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5910","Export Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","57","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5922","Export Value","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","1000 US$","4.28","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5922","Export Value","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","1000 US$","19.25","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5610","Import Quantity","4012","Superphosphates above 35%","2019","2019","tonnes","8716.04","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5622","Import Value","4012","Superphosphates above 35%","2019","2019","1000 US$","1372.49","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5910","Export Quantity","4012","Superphosphates above 35%","2018","2018","tonnes","6000","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5922","Export Value","4012","Superphosphates above 35%","2018","2018","1000 US$","2157.5","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5610","Import Quantity","4001","Urea","2018","2018","tonnes","86452.8","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5610","Import Quantity","4001","Urea","2019","2019","tonnes","55525.23","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5622","Import Value","4001","Urea","2018","2018","1000 US$","23334.71","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5622","Import Value","4001","Urea","2019","2019","1000 US$","14423.05","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5910","Export Quantity","4001","Urea","2018","2018","tonnes","3109098.93","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5910","Export Quantity","4001","Urea","2019","2019","tonnes","2713136.62","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5922","Export Value","4001","Urea","2018","2018","1000 US$","872050.42","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","4","Algeria","5922","Export Value","4001","Urea","2019","2019","1000 US$","783237","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","1181","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5622","Import Value","4022","Diammonium phosphate (DAP)","2019","2019","1000 US$","385.44","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5610","Import Quantity","4011","Phosphate rock","2018","2018","tonnes","431.44","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5610","Import Quantity","4011","Phosphate rock","2019","2019","tonnes","362.91","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5622","Import Value","4011","Phosphate rock","2018","2018","1000 US$","52.91","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5622","Import Value","4011","Phosphate rock","2019","2019","1000 US$","50.92","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5610","Import Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","7870.07","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5610","Import Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","2828.84","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5622","Import Value","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","1000 US$","2524.34","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5622","Import Value","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","1000 US$","1181.96","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5910","Export Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","50.18","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5910","Export Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","35.01","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5922","Export Value","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","1000 US$","56.56","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5922","Export Value","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","1000 US$","25.78","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5610","Import Quantity","4012","Superphosphates above 35%","2018","2018","tonnes","1878.38","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5610","Import Quantity","4012","Superphosphates above 35%","2019","2019","tonnes","1581.3","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5622","Import Value","4012","Superphosphates above 35%","2018","2018","1000 US$","640.96","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5622","Import Value","4012","Superphosphates above 35%","2019","2019","1000 US$","542.85","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5610","Import Quantity","4001","Urea","2018","2018","tonnes","14823.49","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5610","Import Quantity","4001","Urea","2019","2019","tonnes","8736.54","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5622","Import Value","4001","Urea","2018","2018","1000 US$","4453.37","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","7","Angola","5622","Import Value","4001","Urea","2019","2019","1000 US$","2557.74","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","8","Antigua and Barbuda","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","2.16","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","8","Antigua and Barbuda","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","4.4","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","8","Antigua and Barbuda","5622","Import Value","4022","Diammonium phosphate (DAP)","2018","2018","1000 US$","17.58","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","8","Antigua and Barbuda","5622","Import Value","4022","Diammonium phosphate (DAP)","2019","2019","1000 US$","19.96","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","8","Antigua and Barbuda","5610","Import Quantity","4011","Phosphate rock","2019","2019","tonnes","0.02","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","8","Antigua and Barbuda","5622","Import Value","4011","Phosphate rock","2019","2019","1000 US$","0.19","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","8","Antigua and Barbuda","5610","Import Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","0.89","X","International reliable sources"
